,category,subclass_1,subclass_2
lettuce salad (lemon dressing),Side dish_salad_sub,Sub side dish,Lunch
seasoned salad with Korean melon and overripe cucumber,Side dish_salad_sub,Sub side dish,Lunch
(chilli powder-free) seasoned salad with cucumber,Side dish_salad_sub,Sub side dish,Lunch
seasoned salad with paprika and apple in vinegar marinade,Side dish_salad_sub,Sub side dish,Lunch
sweet potato salad (mayonnaise),Side dish_salad_sub,Sub side dish,Lunch
seasoned bellflower root and perilla seed,Side dish_salad_sub,Sub side dish,Lunch
seasoned salad with perilla leaves in vinegar marinade,Side dish_salad_sub,Sub side dish,Lunch
apple orange salad (yoghurt dressing),Side dish_salad_sub,Sub side dish,Lunch or dinner
seasoned salad with cabbage slices,Side dish_salad_sub,Sub side dish,Lunch or dinner
sweet potato salad with crushed nuts (yoghurt),Side dish_salad_sub,Sub side dish,Dinner
seasoned salad with curled mallow,Side dish_salad_sub,Sub side dish,Dinner
seasoned salad with curled mallow,Side dish_salad_sub,Sub side dish,Dinner
cucumber and tomato salad (balsamic vinegar dressing),Side dish_salad_sub,Sub side dish,Lunch
vegetables salad (balsamic vinegar dressing),Side dish_salad_sub,Sub side dish,Dinner
lettuce salad (balsamic vinegar dressing),Side dish_salad_sub,Sub side dish,Dinner
seasoned carrot and green bean sprout,Side dish_salad_sub,Sub side dish,Dinner
seasoned salad with soft crab and green bean sprout,Side dish_salad_sub,Sub side dish,Lunch
lotus root salad (sesame sauce),Side dish_salad_sub,Sub side dish,Lunch or dinner
soft crab lettuce salad,Side dish_salad_sub,Sub side dish,Lunch or dinner
seasoned mushroom,Side dish_salad_sub,Sub side dish,Lunch
seasoned salad with cowpea,Side dish_salad_sub,Sub side dish,Dinner
white daikon salad,Side dish_salad_sub,Sub side dish,Dinner
seasoned perilla leaf,Side dish_salad_sub,Sub side dish,Dinner
seasoned salad with salted seaweed,Side dish_salad_sub,Sub side dish,Lunch or dinner
seasoned salad with acorn jelly in soy sauce,Side dish_salad_sub,Sub side dish,Lunch or dinner
apple salad (balsamic vinegar dressing),Side dish_salad_sub,Sub side dish,Dinner
lettuce strawberry salad,Side dish_salad_sub,Sub side dish,Lunch
wild parsnip,Side dish_salad_sub,Sub side dish,Lunch or dinner
soft tofu salad (oriental dressing),Side dish_salad_sub,Sub side dish,Lunch
seasoned salad with burdock slices and peanut,Side dish_salad_sub,Sub side dish,Dinner
seasoned salad with soft crab in mayonnaise,Side dish_salad_any,Main-sub side dish,
soft crab and vegetables salad,Side dish_salad_any,Main-sub side dish,
soft crab yuzu salad,Side dish_salad_any,Main-sub side dish,
soft crab salad,Side dish_salad_any,Main-sub side dish,
egg salad,Side dish_salad_any,Main-sub side dish,
egg green bean sprout salad,Side dish_salad_any,Main-sub side dish,
seasoned salad with carrot and tuna in mayonnaise,Side dish_salad_any,Main-sub side dish,
tofu tuna salad,Side dish_salad_any,Main-sub side dish,
seasoned salad with soft crab,Side dish_salad_any,Main-sub side dish,
seasoned salad with soft crab and vegetables in vinegar marinade,Side dish_salad_any,Main-sub side dish,
seasoned salad with soft crab and winter celery,Side dish_salad_any,Main-sub side dish,
seasoned salad with soft crab and bean sprout,Side dish_salad_any,Main-sub side dish,Lunch or dinner
quail egg mayonnaise salad,Side dish_salad_any,Main-sub side dish,Dinner
quail egg salad,Side dish_salad_any,Main-sub side dish,Lunch
Mexican salad,Side dish_salad_any,Main-sub side dish,
seasoned salad with tofu and seaweed,Side dish_salad_any,Main-sub side dish,
seasoned salad with tofu and crown daisy,Side dish_salad_any,Main-sub side dish,
seasoned cabbage and soft crab,Side dish_salad_any,Main-sub side dish,
Cajun salad,Side dish_salad_any,Main-sub side dish,
seasoned salad with cucumber and tuna in mayonnaise,Side dish_salad_any,Main-sub side dish,
seasoned salad with fried fish paste and cuttlefish,Side dish_salad_any,Main-sub side dish,
seasoned salad with cuttlefish and pickled daikon,Side dish_salad_any,Main-sub side dish,
seasoned salad with cucumber and soft crab,Side dish_salad_any,Main-sub side dish,Lunch
seasoned salad with green bean sprout and soft crab in vinegar marinade,Side dish_salad_any,Main-sub side dish,Lunch
seasoned salad with green bean sprout and soft crab,Side dish_salad_any,Main-sub side dish,
seasoned salad with fried tofu soft crab and green bean sprout,Side dish_salad_any,Main-sub side dish,
seasoned salad with vegetables and plain noodles,Side dish_salad_any,Main-sub side dish,
Sujebi salad,Side dish_salad_any,Main-sub side dish,
seasoned salad with vegetables and spicy chewy noodles,Side dish_salad_any,Main-sub side dish,Lunch
bean sprout spicy chewy noodles,Side dish_salad_any,Main-sub side dish,
mixed noodles with vegetables,Side dish_salad_any,Main-sub side dish,
tomato tofu salad,Side dish_salad_any,Main-sub side dish,
tomato caprese salad,Side dish_salad_any,Main-sub side dish,Lunch
tomato cheese salad,Side dish_salad_any,Main-sub side dish,Lunch
tomato cheese mash,Side dish_salad_any,Main-sub side dish,
seasoned salad with hijiki and tofu,Side dish_salad_any,Main-sub side dish,
seasoned salad with hijiki and tofu,Side dish_salad_any,Main-sub side dish,Lunch
tofu salad,Side dish_salad_any,Main-sub side dish,
seasoned salad with beef and mung bean jelly,Side dish_salad_any,Main-sub side dish,
seasoned salad with freshwater snails,Side dish_salad_any,Main-sub side dish,
sweet pumpkin sweet potato salad,Side dish_salad_any,Main-sub side dish,
seasoned salad with bean sprout and soft crab,Side dish_salad_any,Main-sub side dish,
seasoned green bean sprout and soft crab,Side dish_salad_any,Main-sub side dish,
seasoned salad with crown daisy and tofu,Side dish_salad_any,Main-sub side dish,
seasoned salad with cuttlefish in vinegar marinade,Side dish_salad_any,Main-sub side dish,Dinner
macaroni corn salad,Side dish_salad_any,Main-sub side dish,
mung bean jelly salad,Side dish_salad_any,Main-sub side dish,Lunch or dinner
tofu tuna salad (yuzu dressing),Side dish_salad_any,Main-sub side dish,Lunch
chicken salad (mustard sauce),Side dish_salad_any,Main-sub side dish,Lunch
chicken tender salad (mustard dressing),Side dish_salad_any,Main-sub side dish,Lunch
steamed halibut in marinade sauce,Side dish_steamed_main,Main side dish,Lunch
steamed cod in marinade sauce,Side dish_steamed_main,Main side dish,Lunch
steamed chicken in soy sauce,Side dish_steamed_main,Main side dish,
steamed chicken,Side dish_steamed_main,Main side dish,Lunch or dinner
(low-salt · low-sugar) steamed chicken,Side dish_steamed_main,Main side dish,Lunch
steamed eggs with Maesaengyi,Side dish_steamed_main,Main side dish,
steamed eggs with winter celery,Side dish_steamed_main,Main side dish,
steamed eggs with spinach,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed eggs with sweet pumpkin,Side dish_steamed_main,Main side dish,
steamed eggs with vegetables,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed eggs with corn,Side dish_steamed_main,Main side dish,Lunch
steamed eggs with bacon,Side dish_steamed_main,Main side dish,Lunch
three-color steamed eggs,Side dish_steamed_main,Main side dish,
steamed eggs,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed eggs with cheese,Side dish_steamed_main,Main side dish,Dinner
steamed chicken in curry,Side dish_steamed_main,Main side dish,
steamed chicken and sweet potato,Side dish_steamed_main,Main side dish,
steamed pork and sweet potato,Side dish_steamed_main,Main side dish,
steamed pork shank with rice cake,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed pork shank,Side dish_steamed_main,Main side dish,
steamed pork rib,Side dish_steamed_main,Main side dish,
steamed pork in lettuce-wraps,Side dish_steamed_main,Main side dish,
steamed pork slices,Side dish_steamed_main,Main side dish,
steamed pork rib,Side dish_steamed_main,Main side dish,
steamed pork and sweet pumpkin,Side dish_steamed_main,Main side dish,
steamed pork shank,Side dish_steamed_main,Main side dish,
steamed pork,Side dish_steamed_main,Main side dish,
steamed pork with Pyogo mushroom,Side dish_steamed_main,Main side dish,
steamed chicken drumstick with chive and bean powder,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed pork rib,Side dish_steamed_main,Main side dish,Lunch or dinner
(low-salt · low-sugar) steamed pork rib,Side dish_steamed_main,Main side dish,Dinner
steamed pork and sweet pumpkin,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed pork,Side dish_steamed_main,Main side dish,Lunch
steamed pork slices,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed eggs with shrimp,Side dish_steamed_main,Main side dish,
steamed eggs with soft crab,Side dish_steamed_main,Main side dish,
steamed eggs with salted pollack roe,Side dish_steamed_main,Main side dish,
steamed beef with rice cake,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed beef with sweet pumpkin,Side dish_steamed_main,Main side dish,Dinner
steamed halibut,Side dish_steamed_main,Main side dish,Lunch
steamed eggs with corn,Side dish_steamed_main,Main side dish,
steamed eggs with almond,Side dish_steamed_main,Main side dish,
steamed chicken and sweet pumpkin,Side dish_steamed_main,Main side dish,
steamed sweet pumpkin and roasted smoked duck,Side dish_steamed_main,Main side dish,Dinner
Deluxe steamed chicken,Side dish_steamed_main,Main side dish,Lunch or dinner
parboiled cuttlefish + yuzu sauce,Side dish_steamed_main,Main side dish,Lunch or dinner
parboiled cuttlefish,Side dish_steamed_main,Main side dish,Dinner
parboiled cuttlefish and broccoli,Side dish_steamed_main,Main side dish,
parboiled broccoli (perilla seed sauce),Side dish_steamed_main,Main side dish,Lunch or dinner
parboiled broccoli (black sesame sauce),Side dish_steamed_main,Main side dish,Lunch or dinner
parboiled broccoli (red chilli paste with vinegar),Side dish_steamed_main,Main side dish,Dinner
steamed eggs with milk,Side dish_steamed_main,Main side dish,
steamed eggs with three-color vegetables,Side dish_steamed_main,Main side dish,
steamed pollack,Side dish_steamed_main,Main side dish,
steamed pollack in marinade sauce,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed chicken,Side dish_steamed_main,Main side dish,
steamed eggs,Side dish_steamed_main,Main side dish,
steamed pork rib and potato,Side dish_steamed_main,Main side dish,
steamed beef rib,Side dish_steamed_main,Main side dish,Lunch
steamed beef with rice cake,Side dish_steamed_main,Main side dish,Lunch
parboiled broccoli (perilla seed sauce),Side dish_steamed_main,Main side dish,Dinner
parboiled broccoli (black sesame sauce),Side dish_steamed_main,Main side dish,Lunch or dinner
parboiled broccoli,Side dish_steamed_main,Main side dish,Dinner
steamed pork shank,Side dish_steamed_main,Main side dish,
steamed vegetables and pollack,Side dish_steamed_main,Main side dish,
steamed mackerel,Side dish_steamed_main,Main side dish,
steamed seafood,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed seafood in soy sauce,Side dish_steamed_main,Main side dish,Dinner
boiled and cooled pork slices,Side dish_steamed_main,Main side dish,
steamed octopus with rice cake,Side dish_steamed_main,Main side dish,
steamed octopus and seafood,Side dish_steamed_main,Main side dish,
steamed pork shank and sweet pumpkin,Side dish_steamed_main,Main side dish,
steamed cuttlefish and sweet pumpkin,Side dish_steamed_main,Main side dish,Lunch or dinner
steamed seafood and sweet pumpkin,Side dish_steamed_main,Main side dish,Dinner
steamed eggs with milk,Side dish_steamed_main,Main side dish,
steamed chicken wings and pollack,Side dish_steamed_main,Main side dish,
steamed chicken drumsticks in curry,Side dish_steamed_main,Main side dish,
steamed chicken and zucchini,Side dish_steamed_main,Main side dish,
steamed chicken tenderloin and zucchini,Side dish_steamed_main,Main side dish,Lunch
steamed pork rib and sweet potato,Side dish_steamed_main,Main side dish,
steamed pork belly and sweet pumpkin,Side dish_steamed_main,Main side dish,
steamed pork and lotus root,Side dish_steamed_main,Main side dish,
steamed pork and bean sprout,Side dish_steamed_main,Main side dish,
steamed pork and bean sprout,Side dish_steamed_main,Main side dish,Dinner
steamed pollack,Side dish_steamed_main,Main side dish,
steamed eggs with tofu,Side dish_steamed_main,Main side dish,
steamed pork with ripe kimchi,Side dish_steamed_main,Main side dish,
steamed pollack,Side dish_steamed_main,Main side dish,
steamed eggs with broccoli,Side dish_steamed_main,Main side dish,
steamed Spanish mackerel and daikon,Side dish_steamed_main,Main side dish,
steamed Spanish mackerel in marinade sauce,Side dish_steamed_main,Main side dish,Dinner
steamed fish and zucchini,Side dish_steamed_main,Main side dish,
steamed beef and zucchini,Side dish_steamed_main,Main side dish,
steamed cuttlefish,Side dish_steamed_main,Main side dish,
steamed corvina,Side dish_steamed_main,Main side dish,
steamed sweet napa cabbage and dried radish leaves,Side dish_steamed_sub,Sub side dish,
steamed chive and bean powder,Side dish_steamed_sub,Sub side dish,Lunch
steamed carrot stick,Side dish_steamed_sub,Sub side dish,
steamed corn,Side dish_steamed_sub,Sub side dish,
steamed potato,Side dish_steamed_sub,Sub side dish,
boiled egg,Side dish_steamed_sub,Sub side dish,
steamed eggs,Side dish_steamed_sub,Sub side dish,
steamed sweet potato,Side dish_steamed_sub,Sub side dish,
steamed sweet pumpkin,Side dish_steamed_sub,Sub side dish,
steamed sweet pumpkin,Side dish_steamed_sub,Sub side dish,Dinner
steamed bean sprout,Side dish_steamed_sub,Sub side dish,
steamed perilla leaf,Side dish_steamed_sub,Sub side dish,
steamed aubergine,Side dish_steamed_sub,Sub side dish,
steamed aubergine in marinade sauce,Side dish_steamed_sub,Sub side dish,Lunch or dinner
steamed perilla leaf and anchovy,Side dish_steamed_sub,Sub side dish,
steamed sweet pumpkin with milk,Side dish_steamed_sub,Sub side dish,
steamed sweet pumpkin with nuts,Side dish_steamed_sub,Sub side dish,Dinner
_sweet pumpkin honey steam,Side dish_steamed_sub,Sub side dish,Lunch
steamed cabbage,Side dish_steamed_sub,Sub side dish,Lunch or dinner
steamed cabbage + soy red chilli paste,Side dish_steamed_sub,Sub side dish,Lunch or dinner
steamed cabbage wraps + soy red chilli paste,Side dish_steamed_sub,Sub side dish,Lunch or dinner
cabbage wraps,Side dish_steamed_sub,Sub side dish,
steamed cabbage with broccoli,Side dish_steamed_sub,Sub side dish,
steamed eggs with shrimp,Side dish_steamed_sub,Sub side dish,
steamed shrimp and styela,Side dish_steamed_sub,Sub side dish,
steamed aubergine with marinade sauce,Side dish_steamed_sub,Sub side dish,
mini-mandu (dumpling) + soy sauce,Side dish_steamed_any,Main-sub side dish,
mini-mandu (dumpling),Side dish_steamed_any,Main-sub side dish,Lunch
soft tofu + marinade sauce,Side dish_steamed_any,Main-sub side dish,Lunch
steamed tofu,Side dish_steamed_any,Main-sub side dish,Dinner
steamed tofu + marinade sauce,Side dish_steamed_any,Main-sub side dish,Dinner
soft tofu + marinade sauce,Side dish_steamed_any,Main-sub side dish,Lunch or dinner
soft tofu + black sesame sauce,Side dish_steamed_any,Main-sub side dish,Lunch or dinner
steamed tofu + black sesame sauce,Side dish_steamed_any,Main-sub side dish,
steamed tofu + stir-fried kimchi,Side dish_steamed_any,Main-sub side dish,Lunch
steamed mandu (dumpling),Side dish_steamed_any,Main-sub side dish,Lunch
parboiled jukkumi,Side dish_steamed_any,Main-sub side dish,
steamed tofu,Side dish_steamed_any,Main-sub side dish,
soft steamed tofu,Side dish_steamed_any,Main-sub side dish,
steamed cockle,Side dish_steamed_any,Main-sub side dish,
grilled halibut,Side dish_grilled_main,Main side dish,
grilled halibut,Side dish_grilled_main,Main side dish,Lunch or dinner
grilled Spanish mackerel in yuzu marinade,Side dish_grilled_main,Main side dish,Dinner
grilled Atka mackerel in yuzu marinade,Side dish_grilled_main,Main side dish,Dinner
grilled halibut in yuzu marinade,Side dish_grilled_main,Main side dish,
grilled halibut with sweet rice,Side dish_grilled_main,Main side dish,Dinner
grilled cutlassfish,Side dish_grilled_main,Main side dish,Lunch or dinner
grilled mackerel in curry,Side dish_grilled_main,Main side dish,Lunch or dinner
grilled mackerel with sweet rice,Side dish_grilled_main,Main side dish,
grilled mackerel,Side dish_grilled_main,Main side dish,Lunch or dinner
rolled omelette with aubergine,Side dish_grilled_main,Main side dish,Lunch
rolled omelette with spinach,Side dish_grilled_main,Main side dish,Dinner
rolled omelette with spinach,Side dish_grilled_main,Main side dish,
rolled omelette with tuna,Side dish_grilled_main,Main side dish,Dinner
rolled omelette with shrimp,Side dish_grilled_main,Main side dish,Dinner
rolled omelette with ham,Side dish_grilled_main,Main side dish,
rolled omelette with cheese,Side dish_grilled_main,Main side dish,Lunch or dinner
rolled omelette with soft crab,Side dish_grilled_main,Main side dish,
rolled omelette with salted seaweed,Side dish_grilled_main,Main side dish,Lunch or dinner
Neobiani,Side dish_grilled_main,Main side dish,Lunch or dinner
rolled omelette with flying fish roe,Side dish_grilled_main,Main side dish,
rolled omelette with perilla leaves,Side dish_grilled_main,Main side dish,
rolled omelette with vegetables,Side dish_grilled_main,Main side dish,Lunch or dinner
rolled omelette,Side dish_grilled_main,Main side dish,
rolled omelette with cheese,Side dish_grilled_main,Main side dish,
chicken skewers,Side dish_grilled_main,Main side dish,
roasted chicken in teriyaki sauce,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted chicken + sauce,Side dish_grilled_main,Main side dish,
spicy stir-fried chicken,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted chicken drumsticks,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted chicken,Side dish_grilled_main,Main side dish,
roasted chicken in teriyaki sauce,Side dish_grilled_main,Main side dish,
roasted chicken with butter,Side dish_grilled_main,Main side dish,
chicken chop steak,Side dish_grilled_main,Main side dish,
grilled meat ball,Side dish_grilled_main,Main side dish,Dinner
chop steak,Side dish_grilled_main,Main side dish,Lunch or dinner
beef chop steak,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted pork with sweet rice,Side dish_grilled_main,Main side dish,
roasted pork in soy paste,Side dish_grilled_main,Main side dish,Dinner
fried eggs with tofu,Side dish_grilled_main,Main side dish,Dinner
tofu steak,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted pork roll with rice cake,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted pork roll with rice cake,Side dish_grilled_main,Main side dish,
roasted pork roll with rice cake,Side dish_grilled_main,Main side dish,Dinner
(homestyle) roasted pork roll with rice cake,Side dish_grilled_main,Main side dish,Dinner
roasted pork,Side dish_grilled_main,Main side dish,Lunch
roasted pork,Side dish_grilled_main,Main side dish,
bacon roll with vegetables,Side dish_grilled_main,Main side dish,
sausage broccoli skewers,Side dish_grilled_main,Main side dish,
sausage rice cake skewers,Side dish_grilled_main,Main side dish,
grilled Atka mackerel,Side dish_grilled_main,Main side dish,
grilled Atka mackerel,Side dish_grilled_main,Main side dish,Lunch or dinner
grilled Atka mackerel in curry,Side dish_grilled_main,Main side dish,Lunch
grilled Spanish mackerel with lemon,Side dish_grilled_main,Main side dish,Lunch
grilled Spanish mackerel,Side dish_grilled_main,Main side dish,Lunch or dinner
grilled Spanish mackerel in curry,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted beef with sweet rice,Side dish_grilled_main,Main side dish,Lunch or dinner
Korean beef kebab,Side dish_grilled_main,Main side dish,Lunch or dinner
rolled omelette with cabbage,Side dish_grilled_main,Main side dish,
salmon steak,Side dish_grilled_main,Main side dish,
grilled dried corvina,Side dish_grilled_main,Main side dish,
grilled cod,Side dish_grilled_main,Main side dish,Lunch or dinner
grilled corvina,Side dish_grilled_main,Main side dish,
rolled omelette with vegetables,Side dish_grilled_main,Main side dish,
hamburger steak with lotus root,Side dish_grilled_main,Main side dish,Dinner
hamburger steak,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted ham,Side dish_grilled_main,Main side dish,
roasted smoked duck (mustard sauce),Side dish_grilled_main,Main side dish,Dinner
roasted smoked duck and stir-fried vegetables,Side dish_grilled_main,Main side dish,Lunch
roasted smoked duck + daikon-wraps,Side dish_grilled_main,Main side dish,
roasted smoked duck,Side dish_grilled_main,Main side dish,Dinner
roasted smoked duck,Side dish_grilled_main,Main side dish,Lunch or dinner
grilled Spanish mackerel + marinade sauce,Side dish_grilled_main,Main side dish,
salt grilled halibut,Side dish_grilled_main,Main side dish,
grilled halibut in yuzu sauce,Side dish_grilled_main,Main side dish,
grilled mackerel in curry,Side dish_grilled_main,Main side dish,
roasted pork with sweet rice,Side dish_grilled_main,Main side dish,
roasted pork,Side dish_grilled_main,Main side dish,Dinner
roasted pork belly,Side dish_grilled_main,Main side dish,
grilled Spanish mackerel in teriyaki sauce,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted chicken with butter,Side dish_grilled_main,Main side dish,Lunch or dinner
roasted shrimp with butter,Side dish_grilled_main,Main side dish,Lunch or dinner
grilled Spanish mackerel in sweet soy sauce,Side dish_grilled_main,Main side dish,Dinner
grilled Atka mackerel in sweet soy sauce,Side dish_grilled_main,Main side dish,Lunch
tofu hamburger steak,Side dish_grilled_main,Main side dish,Lunch or dinner
porkchop steak,Side dish_grilled_main,Main side dish,Lunch
roasted pork and vegetables,Side dish_grilled_main,Main side dish,Dinner
grilled salmon + tartar sauce,Side dish_grilled_main,Main side dish,Dinner
grilled salmon,Side dish_grilled_main,Main side dish,Lunch or dinner
fried sweet pumpkin,Side dish_grilled_sub,Sub side dish,Dinner
roasted potato with butter,Side dish_grilled_sub,Sub side dish,
grilled rice cake,Side dish_grilled_sub,Sub side dish,
grilled salted seaweed,Side dish_grilled_sub,Sub side dish,Lunch or dinner
steamed winter celery with rice cake in red chilli paste,Side dish_grilled_sub,Sub side dish,Lunch or dinner
grilled salted seaweed + wild chive marinade sauce,Side dish_grilled_sub,Sub side dish,Dinner
grilled corn with butter,Side dish_grilled_sub,Sub side dish,
grilled salted seaweed,Side dish_grilled_sub,Sub side dish,
grilled dried white bait,Side dish_grilled_sub,Sub side dish,Lunch
fried eggs,Side dish_grilled_sub,Sub side dish,Lunch
roasted aubergine,Side dish_grilled_sub,Sub side dish,Lunch
roasted potato and ham with butter,Side dish_grilled_any,Main-sub side dish,
fried mandu (dumpling),Side dish_grilled_any,Main-sub side dish,Lunch or dinner
fried eggs,Side dish_grilled_any,Main-sub side dish,
grilled tofu + marinade sauce,Side dish_grilled_any,Main-sub side dish,Dinner
grilled tofu,Side dish_grilled_any,Main-sub side dish,
grilled tofu with sweet rice,Side dish_grilled_any,Main-sub side dish,
grilled tofu with sweet rice powder,Side dish_grilled_any,Main-sub side dish,Lunch or dinner
grilled tofu in teriyaki sauce,Side dish_grilled_any,Main-sub side dish,
grilled tofu + marinade sauce,Side dish_grilled_any,Main-sub side dish,Lunch or dinner
grilled soft crab,Side dish_grilled_any,Main-sub side dish,
rolled omelette with three-color vegetables,Side dish_grilled_any,Main-sub side dish,
grilled tofu in marinade sauce,Side dish_grilled_any,Main-sub side dish,Lunch or dinner
rolled omelette with milk,Side dish_grilled_any,Main-sub side dish,
roasted Spanish mackerel in marinade sauce,Side dish_grilled_any,Main-sub side dish,Lunch
grilled Yangsongyi mushroom with cheese,Side dish_grilled_any,Main-sub side dish,
rolled omelette with tuna,Side dish_grilled_any,Main-sub side dish,
grilled tofu in teriyaki sauce,Side dish_grilled_any,Main-sub side dish,Lunch or dinner
grilled tofu and mushroom steak,Side dish_grilled_any,Main-sub side dish,Lunch
pan-fried meat ball,Side dish_pan_fried_main,Main side dish,Lunch
pan-fried cod and crown daisy,Side dish_pan_fried_main,Main side dish,
pan-fried pollack and crown daisy,Side dish_pan_fried_main,Main side dish,
pan-fried pollack,Side dish_pan_fried_main,Main side dish,
pan-fried pollack,Side dish_pan_fried_main,Main side dish,
pan-fried beef,Side dish_pan_fried_main,Main side dish,
pan-fried beef and perilla,Side dish_pan_fried_main,Main side dish,Lunch or dinner
pan-fried beef and Maesaengyi,Side dish_pan_fried_main,Main side dish,
pan-fried tuna with cheese,Side dish_pan_fried_main,Main side dish,
pan-fried pollack with perilla leaves,Side dish_pan_fried_main,Main side dish,
pan-fried spam with perilla leaves,Side dish_pan_fried_main,Main side dish,
pan-fried sausage,Side dish_pan_fried_main,Main side dish,
pan-fried seafood and kimchi,Side dish_pan_fried_main,Main side dish,
pan-fried tuna with perilla leaves,Side dish_pan_fried_main,Main side dish,
pan-fried tuna and corn,Side dish_pan_fried_main,Main side dish,
pan-fried seafood and spring cabbage,Side dish_pan_fried_main,Main side dish,
pan-fried seafood and chive,Side dish_pan_fried_main,Main side dish,
pan-fried seafood and spring onion,Side dish_pan_fried_main,Main side dish,Lunch or dinner
deluxe pan-fried seafood in curry,Side dish_pan_fried_main,Main side dish,
pan-fried seafood dumpling,Side dish_pan_fried_main,Main side dish,Lunch or dinner
pan-fried white fish,Side dish_pan_fried_main,Main side dish,Lunch or dinner
pan-fried pollack,Side dish_pan_fried_main,Main side dish,Lunch or dinner
pan-fried beef and meat ball,Side dish_pan_fried_main,Main side dish,
pan-fried ham tuna and vegetables,Side dish_pan_fried_main,Main side dish,
pan-fried beef,Side dish_pan_fried_main,Main side dish,
pan-fried vegetables and cuttlefish dumpling,Side dish_pan_fried_main,Main side dish,Dinner
pan-fried cuttlefish with cheese,Side dish_pan_fried_main,Main side dish,
pan-fried shrimp and vegetables,Side dish_pan_fried_main,Main side dish,Lunch
pan-fried meat dumpling,Side dish_pan_fried_main,Main side dish,Lunch or dinner
pan-fried tofu and mushroom in curry,Side dish_pan_fried_main,Main side dish,Lunch
pan-fried cuttlefish dumpling (homestyle),Side dish_pan_fried_main,Main side dish,Lunch
pan-fried cuttlefish dumpling,Side dish_pan_fried_main,Main side dish,Lunch or dinner
pan-fried cod,Side dish_pan_fried_main,Main side dish,Dinner
pan-fried beef dumpling,Side dish_pan_fried_main,Main side dish,Dinner
pan-fried beef,Side dish_pan_fried_main,Main side dish,Lunch or dinner
pan-fried wild chive,Side dish_pan_fried_main,Main side dish,Dinner
pan-fried cockle and spring onion,Side dish_pan_fried_main,Main side dish,Lunch
pan-fried chive,Side dish_pan_fried_sub,Sub side dish,Lunch
pan-fried shrimp and sea lettuce,Side dish_pan_fried_any,Main-sub side dish,
pan-fried tuna with perilla leaves,Side dish_pan_fried_any,Main-sub side dish,Lunch or dinner
pan-fried shepherd's purse,Side dish_pan_fried_any,Main-sub side dish,Lunch
pan-fried mung bean,Side dish_pan_fried_any,Main-sub side dish,
pan-fried mung bean and kimchi,Side dish_pan_fried_any,Main-sub side dish,
pan-fried shredded potato,Side dish_pan_fried_any,Main-sub side dish,Lunch
pan-fried seaweed and potato,Side dish_pan_fried_any,Main-sub side dish,
pan-fried kimchi and rice cake,Side dish_pan_fried_any,Main-sub side dish,
pan-fried kimchi in soy puree,Side dish_pan_fried_any,Main-sub side dish,
pan-fried kimchi and minced pork,Side dish_pan_fried_any,Main-sub side dish,
pan-fried corn and vegetables,Side dish_pan_fried_any,Main-sub side dish,Lunch
pan-fried corn with cheese,Side dish_pan_fried_any,Main-sub side dish,
pan-fried corn and vegetables,Side dish_pan_fried_any,Main-sub side dish,
pan-fried corn and carrot,Side dish_pan_fried_any,Main-sub side dish,
pan-fried dried shrimp and curled mallow,Side dish_pan_fried_any,Main-sub side dish,
pan-fried tofu and carrot dumpling,Side dish_pan_fried_any,Main-sub side dish,
pan-fried soft crab skewers,Side dish_pan_fried_any,Main-sub side dish,
pan-fried dried sea lettuce,Side dish_pan_fried_any,Main-sub side dish,
pan-fried napa cabbage in red chilli paste,Side dish_pan_fried_any,Main-sub side dish,
pan-fried spring cabbage with buckwheat flour,Side dish_pan_fried_any,Main-sub side dish,
pan-fried napa cabbage,Side dish_pan_fried_any,Main-sub side dish,
pan-fried Maesaengyi,Side dish_pan_fried_any,Main-sub side dish,Lunch or dinner
pan-fried winter mushroom in curry,Side dish_pan_fried_any,Main-sub side dish,Lunch or dinner
fried eggs with ham,Side dish_pan_fried_any,Main-sub side dish,Dinner
pan-fried soft crab with eggs,Side dish_pan_fried_any,Main-sub side dish,Dinner
pan-fried winter mushroom with eggs,Side dish_pan_fried_any,Main-sub side dish,
pan-fried mushroom,Side dish_pan_fried_any,Main-sub side dish,
pan-fried tuna and chive,Side dish_pan_fried_any,Main-sub side dish,
pan-fried Saesongyi mushroom,Side dish_pan_fried_any,Main-sub side dish,Dinner
pan-fried sausage,Side dish_pan_fried_any,Main-sub side dish,Lunch
