아침밥/일품,아침국,아침반찬1,아침반찬2,아침김치,오전간식1,오전간식2,점심밥/일품,점심국,점심반찬1,점심반찬2,점심김치,오후간식1,오후간식2,저녁밥/일품,저녁국,저녁반찬1,저녁반찬2,저녁김치,총점
고구마밥(40),조랭이미역국,건새우애호박볶음,고구마순된장무침,깍두기,S사과,S떠먹는요구르트(100ml),쇠고기가지덮밥,감자채맑은국,채소크로켓,새싹채소샐러드,나박 김치,S바나나,S호두우유,검정콩밥,만두국,닭안심애호박찜,느타리버섯나물,총각 김치,5
고구마밥,조랭이미역국,두부계란찜,고구마순된장무침,깍두기,empty,S수제바나나우유,쇠고기가지덮밥,느타리버섯국,채소크로켓,새싹채소샐러드,나박 김치,S바나나,S호두우유,검정콩밥,만두국,토마토소스닭조림,느타리버섯나물,총각 김치,2
일본식쇠고기덮밥(규동),다시마감자국,매콤낙지채소볶음,미트볼피망조림,오이 피클,S건포도감자볼,S단호박식혜,찹쌀밥(추가),미니유부우동,토마토치즈샐러드,애호박생선살찜,비트초절이,S요구르트,S냉콩국+소면,팥밥(30),버섯맑은국,도라지들깨나물,닭가슴살데리야끼조림,오이소박이김치,1
팥밥(30),다시마감자국,닭가슴살데리야끼조림,토마토치즈샐러드,비트초절이,S건포도감자볼,S단호박식혜,찹쌀밥(추가),버섯맑은국,매콤낙지채소볶음,도라지들깨나물,오이소박이김치,S냉콩국+소면,S요구르트,일본식쇠고기덮밥(규동),미니유부우동,미트볼피망조림,애호박생선살찜,오이 피클,5
팥밥(30),다시마감자국,닭가슴살데리야끼조림,토마토치즈샐러드,비트초절이,S치즈,S단호박식혜,찹쌀밥,버섯맑은국,매콤낙지채소볶음,미니새송이버섯무침,오이소박이김치,empty,S복숭아호두스무디,일본식쇠고기덮밥(규동),미니유부우동,미트볼피망조림,사과미나리무침,비트초절이,5
팥밥,다시마감자국,닭가슴살데리야끼조림,토마토치즈샐러드,비트초절이,S치즈,S단호박식혜,찹쌀밥,버섯맑은국,매콤낙지채소볶음,숙주당근나물,오이소박이김치,S복숭아(천도),S요구르트,일본식쇠고기덮밥(규동),미니유부우동,미트볼피망조림,단호박고구마샐러드,오이 피클,5
옥수수밥,애호박맑은국,가지양념무침,단배추멸치조림,나박 김치,S쌀음료,S연두부샐러드(오리엔탈드레싱),찹쌀현미밥(30),만두닭개장,우엉채곤약조림,채소크로켓,깍두기,S우유(100ml),S소고기우엉죽,닭살카레감자밥+양념장,두부전골,도라지무침,팽이버섯부추나물,총각 김치,1
찹쌀현미밥(30),만두닭개장,단배추멸치조림,가지양념무침,나박 김치,S소고기우엉죽,S우유(100ml),닭살카레감자밥+양념장,애호박맑은국,채소크로켓,우엉채곤약조림,깍두기,S연두부샐러드(오리엔탈드레싱),S쌀음료,옥수수밥,두부전골,도라지무침,팽이버섯부추나물,총각 김치,2
찹쌀현미밥,소갈비탕,단배추멸치조림,가지양념무침,깍두기,empty,S우유(100ml),닭살카레감자밥+양념장,애호박맑은국,채소옥수수튀김,파프리카스틱,깍두기,S오미자아이스크림,S꿀호떡,옥수수밥,두부전골,삼치구이,팽이버섯부추나물,총각 김치,5
찹쌀현미밥,김치두부국,돈육데리야끼조림,가지양념무침,나박 김치,empty,S우유(150ml),닭살카레감자밥+양념장,애호박맑은국,채소크로켓,푸실리샐러드,깍두기,S꿀호떡,S쌀음료,옥수수밥,두부전골,삼치구이+양념장,팽이버섯부추나물,총각 김치,2
흰콩밥(30),쑥완자탕,닭살카레조림,녹두전,파 김치,S참외샐러드,S우유(200ml),완두콩밥,양파챗국,애호박양파볶음,애호박볶음,열무 김치,S보리차,S청경채죽,채소주먹밥,찹쌀옹심이국,순살간장닭갈비,무말랭이,단무지,1
흰콩밥(30),쑥완자탕,순살간장닭갈비,애호박볶음,파 김치,S청경채죽,S보리차,채소주먹밥,양파챗국,녹두전,애호박양파볶음,단무지,S참외샐러드,S우유(200ml),완두콩밥,찹쌀옹심이국,닭살카레조림,무말랭이,열무 김치,5
흰콩밥(40),쑥완자탕,순살간장닭갈비,애호박볶음,파 김치,S딸기,S우유(200ml),채소주먹밥,양파챗국,녹두전,애호박양파볶음,단무지,S참외샐러드,S보리차,완두콩밥,찹쌀옹심이국,닭살카레조림,무말랭이,열무 김치,5
흰콩밥,쑥완자탕,순살간장닭갈비,애호박볶음,파 김치,S딸기,S우유(100ml),채소주먹밥,양파챗국,녹두전,애호박양파볶음,단무지,S참외샐러드,S우유(100ml),완두콩밥,찹쌀옹심이국,닭살카레조림,모듬버섯나물,열무 김치,5
찹쌀밥(추가),느타리버섯국,가지무침,가지양념찜,비트초절이,S우유(100ml),S참깨우유스프,소고기굴소스볶음밥,만두국,우엉채곤약조림,채소크로켓,나박 김치,S토마토주스,S연두부샐러드(오리엔탈드레싱),팥밥(30),게살스프,애호박건새우볶음,empty,총각 김치,1
찹쌀밥(추가),느타리버섯국,empty,가지무침,총각 김치,S참깨우유스프,S토마토주스,팥밥(30),만두국,채소크로켓,가지양념찜,나박 김치,S연두부샐러드(오리엔탈드레싱),S우유(100ml),소고기굴소스볶음밥,게살스프,우엉채곤약조림,애호박건새우볶음,비트초절이,4
찹쌀밥,느타리버섯국,참치채소볶음,가지무침,백김치,empty,S토마토주스,팥밥,만두국,닭살고구마조림,가지양념찜,나박 김치,S감자샐러드,S우유(100ml),소고기굴소스볶음밥,브로콜리스프,새우튀김,애호박건새우볶음,비트초절이,5
찹쌀밥,느타리버섯국,햄달걀부침,가지무침,백김치,empty,S토마토주스,팥밥,만두국,닭살고구마조림,브로콜리나물,나박 김치,S자두,S우유(100ml),소고기굴소스볶음밥,게살스프,고구마튀김,달걀샐러드,비트초절이,5
닭살카레감자밥+양념장,우렁이된장국,건새우애호박볶음,느타리버섯나물,열무 물김치,S쌀음료,S두부채소죽,수수밥(30),닭개장,안매운오삼불고기,도라지나물,오이소박이김치,S건포도감자볼,S복숭아호두스무디,밤콩밥,애호박새우젓국,고구마순된장무침,진미채무말랭이무침,깍두기,1
수수밥(30),우렁이된장국,건새우애호박볶음,고구마순된장무침,오이소박이김치,S두부채소죽,S쌀음료,밤콩밥,닭개장,안매운오삼불고기,도라지나물,열무 물김치,S건포도감자볼,S복숭아호두스무디,닭살카레감자밥+양념장,애호박새우젓국,느타리버섯나물,진미채무말랭이무침,깍두기,3
수수밥,우렁이된장국,채소계란말이,토마토범벅,오이소박이김치,S멜론,S검은콩우유(150ml),밤콩밥,닭개장,안매운오삼불고기,도라지나물,열무 물김치,empty,S떠먹는요구르트(100ml),닭살카레감자밥+양념장,empty,숙주김가루무침,진미채무말랭이무침,깍두기,5
수수밥,우렁이된장국,햄오믈렛,토마토범벅,오이소박이김치,S멜론,S검은콩우유(150ml),밤콩밥,닭개장,안매운오삼불고기,도라지나물,열무 물김치,empty,S복숭아호두스무디,닭살카레감자밥+양념장,애호박새우젓국,모듬버섯전,진미채무말랭이무침,깍두기,5
팥밥(30),어탕국수,팽이버섯나물,채소크로켓,비트초절이,S우유(100ml),S소고기우엉죽,찹쌀밥(추가),팥죽,팽이버섯부추나물,우엉채곤약조림,총각 김치,S토마토주스,S연두부샐러드(오리엔탈드레싱),새우크림스파게티,empty,애호박건새우볶음,empty,동치미,1
찹쌀밥(추가),팥죽,empty,우엉채곤약조림,동치미,S소고기우엉죽,S우유(100ml),팥밥(30),어탕국수,애호박건새우볶음,팽이버섯부추나물,총각 김치,S연두부샐러드(오리엔탈드레싱),S토마토주스,새우크림스파게티,empty,채소크로켓,팽이버섯나물,비트초절이,2
찹쌀밥(추가),팥죽,달걀간장조림,돌나물흑임자샐러드,동치미,S단감,S두유(100ml),팥밥,어탕국수,오리훈제채소구이,팽이버섯부추나물,총각 김치,empty,S방울토마토,새우크림스파게티,empty,양파튀김,양배추샐러드(딸기드레싱),비트초절이,5
찹쌀밥(추가),팥죽,옥수수감자전,우엉채곤약조림,동치미,S단감,S우유(100ml),팥밥,소고기봄동국,오리훈제채소구이,팽이버섯부추나물,총각 김치,empty,S토마토주스,새우크림스파게티,empty,치킨너겟+토마토케첩,양상추샐러드(키위드레싱),비트초절이,5
찹쌀현미밥(30),홍합무국,느타리버섯나물,브로콜리새우깨무침,오이소박이김치,S단호박식혜,S복숭아호두스무디,일본식쇠고기덮밥(규동),미니유부우동,감자버터구이,냉이무침,나박 김치,S크림소스스파게티,S참외샐러드,밤콩밥,애호박젓국찌개,고구마순된장무침,안매운오삼불고기,열무 물김치,1
찹쌀현미밥(30),홍합무국,느타리버섯나물,브로콜리새우깨무침,오이소박이김치,S참외샐러드,S단호박식혜,일본식쇠고기덮밥(규동),미니유부우동,감자버터구이,냉이무침,나박 김치,S크림소스스파게티,S복숭아호두스무디,밤콩밥,애호박젓국찌개,안매운오삼불고기,고구마순된장무침,열무 물김치,3
찹쌀현미밥(40),홍합무국,느타리버섯나물,브로콜리새우깨무침,오이소박이김치,S참외샐러드,S단호박식혜,일본식쇠고기덮밥(규동),미니유부우동,감자버터구이,냉이무침,나박 김치,S계란토스트,S복숭아호두스무디,밤콩밥(40),애호박젓국찌개,안매운오삼불고기,고구마순된장무침,열무 물김치,5
찹쌀현미밥,홍합무국,삼치구이,브로콜리새우깨무침,오이소박이김치,S참외,S단호박식혜,일본식쇠고기덮밥(규동),미니유부우동,감자버터구이,수박샐러드,나박 김치,S계란토스트,S오렌지주스,밤콩밥,애호박젓국찌개,안매운오삼불고기,고구마순된장무침,열무 물김치,5
찹쌀밥,곤약어묵국,주꾸미채소간장볶음,두부채소굴소스볶음,열무 김치,S수제바나나우유,S식혜,새우버섯덮밥,만두닭개장,양배추쌈,empty,총각 김치,S감자채요거트샐러드,S두부채소죽,옥수수밥(30),채소스프,가지양념찜,empty,깍두기,1
옥수수밥(30),곤약어묵국,두부채소굴소스볶음,empty,열무 김치,S두부채소죽,S식혜,새우버섯덮밥,채소스프,empty,가지양념찜,깍두기,S감자채요거트샐러드,S수제바나나우유,찹쌀밥,만두닭개장,주꾸미채소간장볶음,양배추쌈,총각 김치,3
옥수수밥,곤약어묵국,참치애호박볶음,아욱무침,열무 김치,empty,S식혜,새우버섯덮밥,채소스프,당면김말이튀김,오이토마토샐러드(발사믹드레싱),백김치,S과일샐러드,S수제바나나우유,찹쌀밥,버섯쇠고기국,주꾸미채소간장볶음,양배추쌈,총각 김치,5
옥수수밥,곤약어묵국,두부채소굴소스볶음,구이김,열무 김치,S호두,S식혜,새우버섯덮밥,채소스프,(가공)만두튀김,파프리카콘샐러드,백김치,S감자채요거트샐러드,S오미자차,찹쌀밥,만두닭개장,주꾸미채소간장볶음,양배추쌈,총각 김치,5
밤콩밥(30),버섯개장,애호박나물,고구마순된장무침,비트초절이,S건포도감자볼,S둥글레차,율무밥,유부실파국,어묵감자조림,진미채무말랭이무침,열무 물김치,S참깨우유스프,S고구마쉐이크,돈육양배추덮밥,느타리버섯국,애호박볶음,empty,나박 김치,1
밤콩밥(30),느타리버섯국,어묵감자조림,고구마순된장무침,열무 물김치,S참깨우유스프,S둥글레차,돈육양배추덮밥,유부실파국,진미채무말랭이무침,애호박나물,나박 김치,S건포도감자볼,S고구마쉐이크,율무밥,버섯개장,empty,애호박볶음,비트초절이,2
밤콩밥,느타리버섯국,두부어묵조림,고구마순된장무침,열무 물김치,S참깨우유스프,empty,단호박카레라이스,유부실파국,진미채무말랭이무침,부추나물,나박 김치,S건포도감자볼,S둥글레차,율무밥,버섯개장,훈제오리구이,양상추샐러드(키위드레싱),비트초절이,5
밤콩밥,느타리버섯국,어묵감자조림,고구마순된장무침,열무 물김치,S사과,S우유(200ml),돈육양배추덮밥,유부실파국,진미채간장조림,애호박나물,나박 김치,S수박,S고구마쉐이크,율무밥,버섯개장,훈제오리구이,양상추샐러드(키위드레싱),백김치,5
해물볶음밥,만두닭개장,건새우애호박볶음,주꾸미채소간장볶음,깍두기,S쌀음료,S복숭아호두스무디,옥수수밥(30),느타리버섯맑은국,매콤콩나물무침,느타리버섯나물,총각 김치,S알리오올리오스파게티,S감자샐러드,찹쌀밥,호박맑은국,닭볶음탕,가지양념찜,열무 김치,1
옥수수밥(30),호박맑은국,주꾸미채소간장볶음,건새우애호박볶음,깍두기,S감자샐러드,S복숭아호두스무디,찹쌀밥,만두닭개장,닭볶음탕,느타리버섯나물,총각 김치,S알리오올리오스파게티,S쌀음료,해물볶음밥,느타리버섯맑은국,가지양념찜,매콤콩나물무침,열무 김치,4
옥수수밥,호박맑은국,치즈달걀찜,건새우애호박볶음,깍두기,S감자샐러드,S망고주스,찹쌀밥,매콤어묵국,닭볶음탕,느타리버섯나물,총각 김치,empty,S복숭아호두스무디,해물볶음밥,느타리버섯맑은국,(가공)만두튀김,매콤콩나물무침,열무 김치,5
옥수수밥,호박맑은국,주꾸미채소간장볶음,건새우애호박볶음,깍두기,empty,S복숭아호두스무디,찹쌀밥,만두닭개장,닭볶음탕,느타리버섯나물,총각 김치,S크랜베리찹쌀케이크,S포도주스,해물볶음밥,느타리버섯맑은국,튀김만두+초간장,토마토범벅,열무 김치,5
찹쌀밥(추가),만두국,도라지무침,참외노각무침,비트초절이,S수제바나나우유,S단호박식혜,팥밥(30),김치맑은국,미트볼피망조림,깻잎순멸치볶음,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S소고기우엉죽,브로콜리채소볶음밥,우렁이두부된장국,냉이무침,애호박건새우볶음,나박 김치,1
찹쌀밥(추가),우렁이두부된장국,도라지무침,깻잎순멸치볶음,오이소박이김치,S소고기우엉죽,S단호박식혜,브로콜리채소볶음밥,만두국,애호박건새우볶음,참외노각무침,비트초절이,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,팥밥(30),김치맑은국,미트볼피망조림,냉이무침,나박 김치,3
찹쌀밥,우렁이두부된장국,도라지무침,열무나물,오이소박이김치,S블루베리,S떠먹는요구르트(100ml),브로콜리채소볶음밥,소고기숙주국,(가공)만두튀김,참외노각무침,비트초절이,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,팥밥,김치맑은국,미트볼피망조림,냉이무침,나박 김치,5
찹쌀밥,우렁이두부된장국,돼지고기떡갈비구이,깻잎순멸치볶음,오이소박이김치,S블루베리,S떠먹는요구르트(100ml),브로콜리채소볶음밥,미니유부우동,치킨텐더샐러드(머스타드드레싱),empty,비트초절이,S바나나사과키위샐러드,S우유(100ml),팥밥,김치맑은국,미트볼피망조림,냉이무침,나박 김치,5
완두콩밥(40),두부대합탕국,가지나물,찐만두,깻잎김치,S호두우유,S건포도감자볼,율무밥,감자양파국,애호박당근볶음,양상추유자청무침,콜라비나박김치,S미니우동,S검은깨두유(150ml),새송이버섯카레라이스,모듬버섯찌개,오리훈제채소구이,토마토카프레제,열무 물김치,1
완두콩밥(40),두부대합탕국,가지나물,토마토카프레제,열무 물김치,S건포도감자볼,S호두우유,새송이버섯카레라이스,감자양파국,찐만두,양상추유자청무침,콜라비나박김치,S미니우동,S검은깨두유(150ml),율무밥,모듬버섯찌개,오리훈제채소구이,애호박당근볶음,깻잎김치,3
완두콩밥(40),두부대합탕국,참치달걀말이,토마토카프레제,열무 물김치,S귤,S요구르트,새송이버섯카레라이스,empty,찐만두,양상추유자청무침,콜라비나박김치,S핫케이크,S검은깨두유(100ml),율무밥,모듬버섯찌개,오리훈제채소구이,애호박당근볶음,깻잎김치,5
완두콩밥,두부대합탕국,참치달걀말이,토마토카프레제,열무 물김치,S포도,S호두우유,새송이버섯카레라이스,감자양파국,찐만두,양상추유자청무침,콜라비나박김치,S핫케이크,S검은깨두유(150ml),율무밥,모듬버섯찌개,오리훈제채소구이,애호박당근볶음,깻잎김치,3
찹쌀밥,미역만두국,느타리버섯나물,매콤콩나물무침,석박지,S감자건포도샐러드,S식혜,일본식쇠고기덮밥(규동),느타리버섯국,배무생채,단호박달걀찜,깍두기,S고구마쉐이크,S쇠고기미역죽,밤찹쌀팥밥(30),애호박새우젓국,머윗대들깨나물,얼갈이무침,열무 김치,1
